50,56,60,59
4,75,91,79
59,85,95,49
70,25,95,39
17,94,84,75
24,83,50,26
92,71,50,24
64,0,54,56
11,98,9,88
58,46,40,4
48,18,78,73
38,66,5,22
70,73,72,49
98,62,35,96
8,9,18,28
95,21,78,95
26,15,94,5
48,74,15,60
32,97,27,44
75,32,70,72
92,23,10,25
43,0,39,49
87,93,80,18
99,41,79,52
84,41,27,18
30,68,85,46
7,15,44,67
1,13,50,41
60,8,51,96
82,39,93,85
57,28,30,88
37,0,91,76
1,75,44,12
28,89,94,64
43,23,58,8
22,80,0,26
2,47,49,61
15,52,16,28
41,73,79,9
98,72,25,31
41,81,96,14
10,55,66,21
98,48,28,20
78,9,29,10
19,14,77,94
78,60,60,70
75,15,27,91
26,10,65,36
46,43,60,78
56,80,10,46
69,92,82,91
29,85,50,92
25,74,20,37
9,85,26,72
20,88,94,18
55,98,7,51
57,59,91,90
69,60,4,5
28,11,39,70
18,37,9,80
69,95,21,50
0,16,70,64
88,53,90,95
12,75,50,51
36,79,14,33
23,45,3,11
79,79,66,20
19,95,28,61
37,81,39,35
95,34,30,1
4,11,17,91
21,41,76,76
77,37,36,99
24,25,90,43
77,89,49,42
97,74,9,59
38,83,74,81
31,47,35,17
38,49,78,19
89,71,14,79
96,77,14,90
56,77,60,69
76,26,81,95
65,11,36,58
95,46,41,31
59,6,8,75
50,97,36,8
7,85,48,27
73,96,80,96
88,32,71,74
57,76,55,48
97,33,14,16
28,94,69,46
98,90,96,83
36,70,50,31
77,67,78,56
31,25,9,50
70,34,52,70
38,29,24,91
75,24,38,4
